,职位,薪资,公司名称,公司地址,工作年限,学历
101,Python,8k-10k,玛特科技,石家庄  ,3-5年,本科
102,Python,25k-50k,iHandy,北京 ,3-5年,本科
103,Python,10k-15k,三维秀,南昌  ,经验不限,学历不限
104,Python,15k-25k,小影,杭州  ,3-5年,本科
105,Python,8k-10k,容商天下,青岛  ,1-3年,大专
106,Python讲师,8k-13k,金信润天武汉分公司,武汉 ,1-3年,大专
107,Python,10k-20k,途游游戏,深圳 ,1-3年,本科
108,Python,12k-24k,软通动力,南京 ,3-5年,本科
109,Python工程师,10k-11k,聚光绘影,北京 ,1-3年,大专
110,Python,15k-25k,普华永道,上海 ,1-3年,本科
111,Python,11k-20k,重庆诺艾铂,重庆 ,1-3年,本科
112,python开发,12k-18k,博彦科技,杭州 ,3-5年,大专
113,Python开发,8k-12k,纬创软件,武汉 ,3-5年,大专
114,Python,9k-12k,领途信息,徐州  ,1年以内,本科
115,python开发,12k-24k,软通动力信息技术集团,西安 ,5-10年,本科
116,Python开发工程师,9k-14k,软通动力,南京 ,3-5年,本科
117,Python,12k-18k,橙色魔方,上海 ,3-5年,本科
118,Python,6k-11k,富淳网络科技,潍坊  ,1年以内,本科
119,Java/Python运维开发,20k-40k,蚂蚁金服,上海 ,3-5年,本科
120,Python爬虫,4k-6k,鲸派数字科技,上海 ,1年以内,本科
121,python工程师,13k-18k,金证股份,深圳 ,3-5年,大专
122,Python开发工程师,18k-20k,阿里巴巴集团,厦门  ,3-5年,大专
123,python开发工程师,20k-40k,今日头条,北京 ,3-5年,本科
124,Python开发工程师,8k-16k,软通动力,西安 ,1-3年,本科
125,Python工程师,6k-11k,Pocoweb,北京 ,1-3年,本科
126,Python,7k-14k,中软国际,南京  ,1-3年,本科
127,Python,10k-14k,天阳科技,厦门  ,3-5年,本科
128,Python,4k-9k,中科昂辉,合肥  ,经验不限,本科
129,Java python,15k-30k,苏宁云商集团,南京 ,3-5年,本科
130,Python,15k-25k,重庆梵泰科技,重庆 ,1-3年,本科
131,Python,8k-12k,深思维,天津 ,1-3年,本科
132,Python工程师,12k-24k,爸爸的选择,北京 ,5-10年,本科
133,python工程师【实习】,2k-3k,BBD,成都  ,应届生,本科
134,Python,10k-15k,北京动力天下科技发展有限公司,北京 ,1-3年,本科
135,Python,6k-9k,雇佣兵,福州  ,1-3年,本科
136,Python自动化测试,8k-13k,软通动力,西安 ,1-3年,本科
137,Python,10k-15k,陕西交通电子,西安 ,3-5年,本科
138,高级Python,12k-18k,联创世界,北京,3-5年,本科
139,Python工程师,12k-15k,柯莱特集团,北京,3-5年,本科
140,Python,10k-15k,牛咖,上海  ,经验不限,本科
141,Python,6k-9k,仁和安信,成都  ,1-3年,本科
142,Python高级工程师,20k-35k,便利蜂,北京 ,3-5年,本科
143,Python,25k-40k,UCVR,深圳 ,5-10年,本科
144,python工程师,8k-10k,同翼教育科技,郑州 ,3-5年,本科
145,Python，PHP,6k-10k,联创佳讯,西安  ,3-5年,本科
146,Python开发工程师,20k-40k,今日头条,上海 ,3-5年,本科
147,Python工程师,8k-14k,世轩科技,大连  ,1-3年,本科
148,Python开发,10k-15k,上海速强信息,深圳  ,1-3年,本科
149,python开发,8k-9k,中软国际,深圳  ,1-3年,本科
150,Python讲师,20k-40k,上海传智播客教育培训,上海 ,3-5年,本科
151,Python实习生,3k-5k,海康威视,杭州  ,经验不限,硕士
152,Python工程师（爬虫方向）,13k-26k,北京计算机研究所,北京 ,3-5年,本科
153,Python,20k-25k,BoringKillerLtd,北京,3-5年,本科
154,Python,7k-10k,合肥英泽信息科技,武汉 ,1-3年,大专
155,Python,10k-18k,微码教育,合肥  ,1年以内,本科
156,python,9k-14k,软通动力,杭州 ,1-3年,本科
157,Python开发工程师,12k-24k,深信服科技,深圳  ,1-3年,本科
158,python工程师,40k-50k,今日头条,北京 ,3-5年,本科
159,Python,9k-12k,知了堂,成都  ,3-5年,大专
160,Python,10k-15k,叁斌,杭州  ,1年以内,本科
161,python编程老师,6k-11k,傲梦网络科技,长春  ,经验不限,本科
162,python编程老师,5k-10k,傲梦网络科技,太原  ,经验不限,本科
163,python编程老师,6k-11k,傲梦网络科技,石家庄  ,经验不限,本科
164,python授课讲师,6k-11k,傲梦网络科技,哈尔滨  ,经验不限,本科
165,python编程老师,6k-11k,傲梦网络科技,天津 ,经验不限,本科
166,python编程老师,6k-11k,傲梦网络科技,北京 ,经验不限,本科
167,python编程老师,6k-11k,傲梦网络科技,上海 ,经验不限,本科
168,python编程老师,6k-10k,傲梦网络科技,沈阳  ,经验不限,本科
169,python测试,7k-12k,润和软件,南京 ,1-3年,本科
170,Python开发工程师,15k-30k,网易,广州 ,1-3年,本科
171,Python工程师,4k-6k,科力锐,重庆 ,1年以内,大专
172,Python,4k-8k,乐而知教育,郑州  ,3-5年,本科
173,Python工程师,8k-13k,云沃客,深圳,1-3年,本科
174,Python开发工程师,14k-24k,银盛支付,深圳 ,1-3年,本科
175,Python,8k-12k,上海海势,成都  ,1-3年,本科
176,Python开发（ERP）,12k-20k,绿米,深圳 ,3-5年,本科
177,Python开发工程师,11k-15k,法本信息,上海,1-3年,本科
178,python导师,30k-35k,万里航,北京 ,3-5年,本科
179,Python,11k-20k,紫光云,天津  ,3-5年,本科
180,python,15k-20k,泉涸,上海,5-10年,大专
181,Python,14k-15k,柯莱特集团,北京 ,1-3年,大专
182,python工程师,8k-12k,深圳云译,厦门 ,1年以内,大专
183,python工程师-,11k-18k,绿舟科技,深圳 ,3-5年,本科
184,python讲师,18k-30k,泽林信息,深圳 ,3-5年,本科
185,高级Python工程师,15k-25k,云思创智,南京  ,3-5年,本科
186,Python全栈工程师,12k-24k,旷视科技(Face++),北京,3-5年,学历不限
187,python自动化测试,8k-13k,软通动力信息技术集团,西安 ,3-5年,本科
188,Python,14k-26k,深信服科技,深圳  ,1-3年,本科
189,Python,7k-10k,啸谷科技,沈阳  ,1年以内,本科
190,Python,10k-12k,尚观,沈阳  ,1-3年,大专
191,Python,15k-25k,艾唯博瑞,北京 ,5-10年,本科
192,Python,12k-20k,新康众集团,杭州 ,经验不限,大专
193,Python开发工程师,20k-30k,狸米科技,北京,3-5年,本科
194,python,13k-25k,上海人科,上海 ,3-5年,本科
195,Python开发,5k-10k,连云港勋耀网络传...,连云港  ,1年以内,大专
196,Python,15k-30k,志翔科技,北京 ,1-3年,本科
197,Python,10k-20k,万得,南京  ,1-3年,本科
198,Python开发工程师,20k-30k,玩蟹科技,北京,5-10年,大专
199,python开发工程师,8k-15k,启明星辰,广州 ,3-5年,本科
200,Python开发工程师,10k-15k,软通动力,杭州 ,1-3年,本科
201,高级Python开发工程师,25k-50k,好未来,北京,5-10年,本科
202,Python,4k-8k,赣州创锋科技有限公司,赣州  ,1年以内,大专
203,python人工智能讲师,40k-60k,传智播客,北京  ,3-5年,本科
204,Python开发工程师,12k-20k,网宿科技,厦门  ,3-5年,本科
205,Python 开发,12k-14k,华云中盛,杭州  ,3-5年,本科
206,python 开发,13k-14k,华云中盛,杭州  ,3-5年,本科
207,python,15k-25k,易特科集团,深圳 ,3-5年,本科
208,Python工程师(数据方向),16k-24k,Suning,南京  ,3-5年,本科
209,后台开发工程师--Python,30k-60k,今日头条,北京 ,经验不限,本科
210,Python高级开发工程师,20k-40k,华为,西安  ,3-5年,本科
211,Python,10k-15k,厦门意游地信息科...,厦门  ,经验不限,学历不限
212,Python,10k-14k,贰伍陆,北京 ,1-3年,大专
213,Python,10k-15k,德帆科技,重庆,3-5年,大专
214,Python工程师,6k-8k,文思海辉技术有限公司,深圳 ,1-3年,大专
215,python开发,9k-14k,深圳国开创新科技,深圳 ,3-5年,本科
216,python工程师,6k-11k,迪维勒普科技,郑州  ,3-5年,本科
217,Python,15k-30k,北大青鸟航天桥校区,北京 ,1-3年,本科
218,Python,20k-40k,蚂蚁金服,上海 ,3-5年,本科
219,Python,12k-15k,思满科技,上海 ,3-5年,本科
220,Python,8k-15k,逐玛,上海,1年以内,本科
221,Python,5k-10k,软唐信息科技,无锡  ,3-5年,大专
222,Python实习生,1k-3k,广州潮汐信息,广州 ,经验不限,学历不限
223,python爬虫,10k-20k,南京霖讯,南京  ,5-10年,本科
